time,transactions,batch_throughput_TPS,avg_tx_duration_ms
2064, 100, 28.98, 34.52
2067, 100, 28.49, 35.10
2071, 100, 29.06, 34.45
2074, 100, 28.49, 35.14
2078, 100, 28.49, 35.15
2081, 100, 28.73, 34.80
2085, 100, 28.81, 34.75
2088, 100, 28.90, 34.69
2092, 100, 29.06, 34.40
2095, 100, 29.06, 34.42
2099, 100, 28.40, 35.23
2102, 100, 28.90, 34.62
2106, 100, 29.06, 34.48
2109, 100, 28.98, 34.51
2113, 100, 28.65, 34.91
2116, 100, 28.40, 35.23
2120, 100, 28.08, 35.60
2123, 100, 28.65, 34.90
2127, 100, 28.65, 34.94
2130, 100, 28.49, 35.17
2134, 100, 28.40, 35.27
2138, 100, 23.04, 43.40
2142, 100, 24.75, 40.43
2146, 100, 28.81, 34.79
2149, 100, 28.81, 34.79
2153, 100, 28.57, 35.08
2156, 100, 28.40, 35.21
2160, 100, 28.98, 34.55
2163, 100, 28.57, 35.01
2167, 100, 29.06, 34.41
2170, 100, 28.98, 34.53
2174, 100, 28.49, 35.13
2177, 100, 28.90, 34.64
2181, 100, 28.90, 34.68
2184, 100, 28.65, 34.91
2188, 100, 28.81, 34.74
2191, 100, 28.81, 34.75
2195, 100, 28.01, 35.74
2198, 100, 28.40, 35.26
2202, 100, 29.23, 34.29
2205, 100, 28.90, 34.64
2209, 100, 28.81, 34.70
2212, 100, 28.49, 35.17
2216, 100, 28.98, 34.57
2219, 100, 28.57, 35.07
2223, 100, 28.73, 34.84
2226, 100, 29.06, 34.48
2229, 100, 28.65, 34.95
2233, 100, 27.93, 35.87
2237, 100, 28.73, 34.89
2240, 100, 28.32, 35.34
2244, 100, 28.65, 34.98
2247, 100, 28.65, 34.99
2251, 100, 23.20, 43.15
2256, 100, 23.52, 42.55
2259, 100, 28.49, 35.14
2263, 100, 28.65, 34.90
2266, 100, 28.90, 34.60
2270, 100, 28.32, 35.34
2273, 100, 28.73, 34.80
2277, 100, 28.81, 34.70
2280, 100, 28.49, 35.11
2284, 100, 28.90, 34.63
2287, 100, 28.81, 34.76
2291, 100, 28.16, 35.53
2294, 100, 28.98, 34.50
2298, 100, 28.73, 34.81
2301, 100, 28.49, 35.14
2305, 100, 28.65, 34.98
2308, 100, 28.81, 34.79
2312, 100, 28.65, 34.98
2315, 100, 28.57, 35.09
2319, 100, 28.57, 35.07
2322, 100, 28.57, 35.05
2326, 100, 28.32, 35.32
2329, 100, 29.06, 34.40
2333, 100, 28.90, 34.62
2336, 100, 29.06, 34.46
2340, 100, 29.32, 34.19
2343, 100, 29.23, 34.21
2346, 100, 29.06, 34.42
2350, 100, 28.81, 34.71
2353, 100, 29.23, 34.28
2357, 100, 29.15, 34.39
2360, 100, 29.06, 34.46
2364, 100, 24.57, 40.70
2369, 100, 23.31, 42.91
2372, 100, 29.06, 34.41
2375, 100, 29.06, 34.48
2379, 100, 29.41, 34.09
2382, 100, 29.15, 34.38
2386, 100, 28.90, 34.65
2389, 100, 29.06, 34.42
2393, 100, 29.49, 33.93
2396, 100, 29.15, 34.36
2400, 100, 29.15, 34.39
2403, 100, 28.81, 34.73
2406, 100, 29.15, 34.37
2410, 100, 28.90, 34.65
2413, 100, 29.06, 34.43
2417, 100, 28.90, 34.69
2420, 100, 28.81, 34.76
