time,transactions,batch_throughput_TPS,avg_tx_duration_ms
1459, 100, 27.32, 36.65
1463, 100, 27.24, 36.79
1467, 100, 27.24, 36.77
1470, 100, 26.59, 37.60
1474, 100, 26.52, 37.78
1478, 100, 27.47, 36.44
1482, 100, 27.10, 36.97
1485, 100, 27.47, 36.46
1489, 100, 23.75, 42.11
1493, 100, 26.45, 37.86
1497, 100, 26.88, 37.29
1501, 100, 27.02, 37.02
1504, 100, 26.80, 37.39
1508, 100, 27.77, 36.09
1512, 100, 26.80, 37.30
1515, 100, 27.62, 36.27
1519, 100, 27.17, 36.89
1523, 100, 27.10, 36.97
1526, 100, 27.32, 36.60
1530, 100, 27.24, 36.75
1534, 100, 27.10, 36.94
1537, 100, 27.10, 36.93
1541, 100, 27.32, 36.61
1545, 100, 27.47, 36.41
1549, 100, 26.66, 37.55
1552, 100, 27.24, 36.72
1556, 100, 27.24, 36.73
1560, 100, 27.24, 36.76
1563, 100, 27.24, 36.74
1567, 100, 27.54, 36.38
1571, 100, 27.32, 36.66
1574, 100, 26.80, 37.36
1578, 100, 26.80, 37.39
1582, 100, 26.95, 37.12
1586, 100, 26.59, 37.63
1589, 100, 27.24, 36.79
1593, 100, 27.17, 36.82
1597, 100, 22.67, 44.15
1601, 100, 26.17, 38.21
1605, 100, 26.88, 37.26
1609, 100, 27.32, 36.64
1612, 100, 26.73, 37.42
1616, 100, 26.95, 37.18
1620, 100, 26.73, 37.42
1624, 100, 26.88, 37.21
1627, 100, 27.39, 36.57
1631, 100, 27.02, 37.07
1635, 100, 26.88, 37.21
1638, 100, 27.24, 36.70
1642, 100, 27.47, 36.49
1646, 100, 26.88, 37.23
1649, 100, 27.24, 36.76
1653, 100, 26.45, 37.81
1657, 100, 27.17, 36.87
1661, 100, 27.24, 36.74
1664, 100, 27.02, 37.05
1668, 100, 27.47, 36.41
1672, 100, 26.52, 37.76
1675, 100, 27.24, 36.79
1679, 100, 27.47, 36.42
1683, 100, 26.95, 37.12
1686, 100, 26.73, 37.43
1690, 100, 26.88, 37.27
1694, 100, 27.17, 36.80
1698, 100, 27.32, 36.69
1701, 100, 26.73, 37.49
1705, 100, 24.57, 40.73
1709, 100, 24.87, 40.27
1713, 100, 27.24, 36.71
1717, 100, 26.17, 38.23
1721, 100, 26.80, 37.30
1724, 100, 27.32, 36.63
1728, 100, 27.85, 35.90
1732, 100, 26.66, 37.53
1735, 100, 27.10, 36.95
1739, 100, 27.39, 36.52
1743, 100, 27.10, 36.96
1746, 100, 27.10, 36.92
1750, 100, 27.62, 36.25
1754, 100, 27.10, 36.96
1758, 100, 27.10, 36.90
1761, 100, 27.10, 36.97
1765, 100, 27.10, 36.91
1769, 100, 27.02, 37.03
1772, 100, 27.39, 36.53
1776, 100, 26.88, 37.26
1780, 100, 27.85, 35.94
1783, 100, 26.95, 37.15
1787, 100, 27.02, 37.08
1791, 100, 26.10, 38.31
1795, 100, 27.24, 36.73
1798, 100, 27.24, 36.72
1802, 100, 26.95, 37.16
1806, 100, 27.54, 36.32
1809, 100, 27.62, 36.25
1813, 100, 27.10, 36.91
1817, 100, 27.39, 36.55
1820, 100, 27.62, 36.28
1824, 100, 27.17, 36.89
1828, 100, 27.70, 36.12
1831, 100, 26.88, 37.26
1835, 100, 27.10, 36.94
1839, 100, 27.02, 37.06
1842, 100, 26.59, 37.67
1846, 100, 27.39, 36.56
1850, 100, 27.32, 36.65
1854, 100, 26.95, 37.10
1857, 100, 27.17, 36.85
1861, 100, 27.17, 36.80
1865, 100, 27.47, 36.48
1868, 100, 27.24, 36.78
1872, 100, 26.80, 37.33
1876, 100, 27.10, 36.91
1879, 100, 26.73, 37.44
1883, 100, 27.32, 36.69
1887, 100, 26.88, 37.20
1891, 100, 26.95, 37.12
1894, 100, 27.17, 36.85
1898, 100, 27.24, 36.75
1902, 100, 26.66, 37.50
1905, 100, 27.54, 36.36
1909, 100, 27.02, 37.01
1913, 100, 27.39, 36.59
1916, 100, 26.66, 37.53
1920, 100, 27.02, 37.04
1924, 100, 27.47, 36.48
1927, 100, 27.54, 36.32
1931, 100, 27.39, 36.52
1935, 100, 27.39, 36.53
1938, 100, 27.17, 36.86
1942, 100, 27.32, 36.65
1946, 100, 27.54, 36.30
1949, 100, 27.17, 36.88
1953, 100, 27.62, 36.28
1957, 100, 27.02, 37.00
1961, 100, 26.95, 37.12
1964, 100, 26.88, 37.25
1968, 100, 26.88, 37.27
1972, 100, 27.54, 36.36
1975, 100, 27.24, 36.72
1979, 100, 27.54, 36.30
1983, 100, 27.10, 36.90
1986, 100, 27.02, 37.02
1990, 100, 27.54, 36.36
1994, 100, 26.88, 37.23
1997, 100, 26.95, 37.16
2001, 100, 26.73, 37.47
2005, 100, 26.73, 37.40
2009, 100, 27.02, 37.00
2012, 100, 26.95, 37.12
2016, 100, 27.10, 36.91
2020, 100, 26.95, 37.12
2023, 100, 27.47, 36.43
2027, 100, 27.10, 36.98
2031, 100, 27.24, 36.72
2035, 100, 27.02, 37.08
2038, 100, 27.02, 37.05
2042, 100, 26.95, 37.13
2046, 100, 27.17, 36.84
2049, 100, 26.73, 37.41
2053, 100, 27.39, 36.59
2057, 100, 27.10, 36.92
2060, 100, 26.95, 37.14
2064, 100, 26.73, 37.42
